Period,Specialty,Procedure,Provider,Zone,Facility,Year,Quarter,Consult_Median,Consult_90th,Surgery_Median,Surgery_90th
2024_q3,,Gastrointestinal Tract Surgery,,Zone 4,QE2,2024,3,33,175,46,112
2024_q2,,Hernia Repair - Inguinal/Femoral,,IWK,IWK,2024,2,,,133,194
2023_q2,,Hernia Repair  (Adult),,Total,Provincial,2023,2,56,334,73,283
2023_q4,,Knee Scope,,Zone 3,Cape Breton Regional,2023,4,55,136,,
12month_rolling,Orthopaedic,Knee Replacement,"Brien, Donald M",,,,,185,361,153,258
2023_q3,,Shoulder Arthroscopy,,Zone 4,Hants Community Hospital,2023,3,74,111,50,225
2023_q2,,Bowel Resection,,Zone 3,Cape Breton Regional,2023,2,9,22,32,46
2023_q2,,Hernia Repair - Umbilical,,Total,Provincial,2023,2,65,290,94,363
12month_rolling,Vascular Surgery,Endarterectomy,"Smith, Matthew",,,,,17,20,17,34
2023_q1,,Removal of Ovaries and/or Fallopian Tubes  (Cancer Not Suspected),,Zone 1,Valley Regional,2023,1,531,649,269,433
12month_rolling,Neurosurgery,All,"Clarke, David B",,,,,24,83,25,78
3month_rolling,,Hip Replacement Revision,,Zone 4,QE2,2025,1,35,82,65,215
2023_q1,,Back Surgery  (Adult),,Zone 4,QE2,2023,1,106,666,100,322
12month_rolling,Plastic Surgery,Hand / Upper Extremity,"Wheelock, Margaret",,,,,,,183,295
2024_q2,,Colorectal Cancer Surgery,,Zone 1,Valley Regional,2024,2,24,69,35,81
2023_q4,,Pelvic Floor Repair,,IWK,IWK,2023,4,115,686,134,246
12month_rolling,Dental,All,"Brown, Charlotte",,,,,39,98,176,288
2023_q1,,Functional Endoscopic Sinus Surgery (FESS),,Zone 3,St. Martha's Regional,2023,1,,,92,200
12month_rolling,General Surgery,Bowel Resection - Open,"Yaffe, Paul",,,,,18,40,49,71
12month_rolling,,Prostate Surgery,,Zone 3,Northside General,2025,1,107,199,34,97
2024_q2,,Prostate Surgery,,Zone 1,Yarmouth Regional,2024,2,,,97,317
2023_q4,,Septoplasty,,Zone 2,Cumberland Regional,2023,4,,,56,120
12month_rolling,Ophthalmology,Cataract Surgery,"Bata, Bashar",,,,,47,53,55,75
2023_q3,,Hysteroscopy,,Zone 4,Dartmouth General,2023,3,23,89,73,90
2023_q2,,Cataract Surgery,,Zone 3,St. Martha's Regional,2023,2,118,239,37,148
2023_q1,,Gastrointestinal Tract Surgery,,Zone 4,QE2,2023,1,41,317,46,458
12month_rolling,Otolaryngology (ENT),Head and Neck Surgery,"Wallace, Timothy D",,,,,30,57,75,132
2024_q4,,Male Reproductive System Surgery,,Total,Provincial,2024,4,95,327,127,467
12month_rolling,Orthopaedic,Hip Replacement Revision,"Richardson, Christopher Glen",,,,,24,52,82,264
2024_q4,,Lymph Node Biopsy,,Zone 4,QE2,2024,4,15,48,30,64
2024_q3,,Glaucoma (Eye Pressure Lowering Surgery),,Zone 4,QE2,2024,3,40,580,22,71
2023_q4,,Removal of Ovaries and/or Fallopian Tubes  (Cancer Suspected or Proven),,Total,Provincial,2023,4,25,197,43,121
3month_rolling,Neurosurgery,,,,,2025,1,,,43,161
2023_q1,,Gastrointestinal Tract Surgery,,Zone 1,South Shore Regional,2023,1,13,41,29,95
12month_rolling,Obstetrics/Gynaecology,Hysteroscopy,"Stairs, Jocelyn",,,,,93,248,59,101
2024_q1,,Septoplasty,,Zone 1,Valley Regional,2024,1,349,617,87,151
2024_q3,,Shoulder Arthroscopy,,Zone 1,South Shore Regional,2024,3,98,422,112,196
12month_rolling,Cardiac Surgery,Aneurysm Repair,"Wood, Jeremy R",,,,,,,87,156
2023_q1,,Kidney Stone Surgery,,Zone 2,Colchester East Hants Health Centre,2023,1,39,150,31,166
2023_q2,,Cardioversion,,Total,Provincial,2023,2,,,26,44
2024_q2,,Craniotomy or Craniectomy,,Zone 4,QE2,2024,2,,,156,294
12month_rolling,Neurosurgery,Back Surgery  (Adult),"Barry, Sean",,,,,56,159,143,290
2024_q4,,Bowel Resection - Laparoscopic,,Zone 4,Dartmouth General,2024,4,16,103,37,53
2024_q4,,Hernia Repair - Laparoscopic Inguinal Femoral,,Zone 3,St. Martha's Regional,2024,4,38,91,194,384
2024_q2,,Insertion Vascular Access Catheter,,Zone 1,Yarmouth Regional,2024,2,,,12,24
2024_q2,,Gallbladder Surgery,,Zone 4,Dartmouth General,2024,2,70,344,67,167
2023_q1,,Tubal Ligation,,Total,Provincial,2023,1,206,651,100,181
2024_q1,,Male Circumcision  (Adult),,Total,Provincial,2024,1,69,333,118,536
2023_q2,,Female Incontinence Surgery,,Total,Provincial,2023,2,233,642,124,362
12month_rolling,General Surgery,Bowel Resection,"Archibald, Alison",,,,,11,14,22,57
2025_q1,,Male Circumcision  (Pediatric),,IWK,IWK,2025,1,,,132,674
2023_q1,,Cervical Spine (Neck) Surgery,,Total,Provincial,2023,1,57,353,78,206
2023_q1,,Knee Replacement Revision,,Zone 4,QE2,2023,1,,,98,148
12month_rolling,Neurosurgery,Brain Surgery  (Adult),"McNeely, P Daniel",,,,,39,91,32,177
2023_q1,,Hip Replacement Revision,,Zone 4,QE2,2023,1,,,95,449
2024_q4,,Hernia Repair - Inguinal/Femoral,,Zone 4,Hants Community Hospital,2024,4,279,289,54,185
12month_rolling,,Foot - Osteotomy,,Total,Provincial,2025,1,562,635,93,164
12month_rolling,Dental,All,"Doyle, Tracy",,,,,90,570,188,783
12month_rolling,Obstetrics/Gynaecology,All,"Amir, Baharak",,,,,118,882,120,426
2023_q1,,Thyroid or Parathyroid Surgery,,Total,Provincial,2023,1,45,135,67,377
2023_q3,,Amputations,,Total,Provincial,2023,3,13,84,22,54
12month_rolling,General Surgery,Gastrointestinal Tract Surgery - Laparoscopic,"Wasserman, Lukas",,,,,28,238,34,55
2023_q3,,Hip Replacement,,Zone 1,Valley Regional,2023,3,207,388,469,625
12month_rolling,,Amputations,,Zone 1,South Shore Regional,2025,1,,,11,99
12month_rolling,Orthopaedic,All,"Prasad, Bangaradka Radhakrishna",,,,,78,177,123,231
12month_rolling,Otolaryngology (ENT),Laryngology and Vocal Cord Surgery,"Corsten, Martin",,,,,18,26,27,39
12month_rolling,Otolaryngology (ENT),Sinus Surgery,"Wallace, Timothy D",,,,,85,696,35,58
2023_q3,,Aesthetic Surgery,,Total,Provincial,2023,3,86,209,51,243
2025_q1,,Gastrointestinal Tract Surgery,,Zone 4,Dartmouth General,2025,1,43,150,51,312
12month_rolling,Obstetrics/Gynaecology,Pelvic Floor Repair,"Moodley, Manivasan",,,,,202,272,468,614
2024_q2,,Hernia Repair  (Adult),,Zone 4,Hants Community Hospital,2024,2,247,567,62,119
12month_rolling,Orthopaedic,Knee Replacement - Partial,"Gross, Michael",,,,,213,362,58,104
2024_q3,,Palmar Fascia Excision for Dupuytren's Disease,,Zone 4,QE2,2024,3,613,"1,279",46,48
12month_rolling,General Surgery,Male Reproductive System Surgery,"Milford, Karen",,,,,86,201,136,636
2024_q2,,Prostate Surgery,,Zone 3,Northside General,2024,2,,,29,69
2023_q2,,Shoulder Arthroplasty,,Zone 1,Valley Regional,2023,2,113,706,400,586
12month_rolling,Orthopaedic,Tendon / Ligament Repair,"McNeil, Daniel",,,,,69,131,99,188
2024_q3,,Gallbladder Surgery,,Zone 3,Glace Bay,2024,3,87,195,,
2024_q2,,Cystoscopy,,Zone 4,Dartmouth General,2024,2,37,95,91,435
2024_q2,,Hernia Repair  (Adult),,Zone 2,Aberdeen Hospital,2024,2,102,368,93,159
2023_q1,,Hernia Repair  (Adult),,Zone 3,Cape Breton Regional,2023,1,188,342,236,498
12month_rolling,General Surgery,Colorectal Cancer Surgery,"Shih, Warren W",,,,,17,30,35,41
12month_rolling,General Surgery,Gastrointestinal Tract Surgery - Laparoscopic,"Kenyon, Chris",,,,,33,114,99,397
2023_q3,,Coronary Artery Bypass Graft,,Total,Provincial,2023,3,,,8,48
12month_rolling,General Surgery,Bariatric Surgery (for Weight Loss),"Jad, Ahmed",,,,,120,206,115,234
2023_q2,,Shoulder Arthroplasty,,Zone 4,QE2,2023,2,146,324,315,596
2024_q1,,Hysteroscopy,,Zone 3,Cape Breton Regional,2024,1,,,48,133
2023_q2,,Foot - Bunionectomy,,Total,Provincial,2023,2,,,184,319
2025_q1,,Esophagectomy / Esophageal Surgery,,Total,Provincial,2025,1,,,33,74
12month_rolling,General Surgery,Liver Surgery,"Livingstone, Scott",,,,,8,79,28,49
2024_q3,,Functional Endoscopic Sinus Surgery (FESS),,Zone 4,Dartmouth General,2024,3,35,83,91,146
2023_q3,,Septoplasty,,Zone 4,Dartmouth General,2023,3,43,87,108,312
2024_q1,,Hip Replacement,,Zone 2,Aberdeen Hospital,2024,1,113,240,78,162
12month_rolling,Urology,Kidney Removal,"Moore, Jonathan Peter",,,,,15,36,37,43
12month_rolling,Urology,Kidney Stone Surgery,"Himmelman, Jeffrey George",,,,,,,42,111
12month_rolling,Urology,Kidney / Upper Urinary Tract,"Paterson, Nicholas",,,,,50,92,46,138
2023_q4,,AV Fistula Creation/Closure,,Total,Provincial,2023,4,,,32,120
2024_q2,,Cataract Surgery,,Zone 1,Soldiers Memorial,2024,2,67,104,39,127
2024_q4,,Hernia Repair  (Adult),,Zone 1,South Shore Regional,2024,4,64,147,37,124
12month_rolling,General Surgery,Hernia Repair - Inguinal/Femoral,"Smith, Victoria",,,,,66,171,23,82
2024_q4,,Hernia Repair - Incisional,,Total,Provincial,2024,4,69,518,116,318
2023_q2,,Hernia Repair  (Pediatric),,IWK,IWK,2023,2,60,112,119,324
12month_rolling,Oral Maxillofacial,Dental Extractions and Restorations  (Adult),"Robertson, Chad G",,,,,140,240,68,235
12month_rolling,Dental,All,"Hughes, Stacey",,,,,47,63,51,95
12month_rolling,Orthopaedic,Back Surgery  (Pediatric),"Orlik, Benjamin",,,,,77,222,242,432
12month_rolling,Orthopaedic,All,"Johnston, David G",,,,,67,547,451,749
2024_q1,,Hernia Repair  (Adult),,Zone 1,Yarmouth Regional,2024,1,19,34,65,105
2023_q4,,Brain Surgery  (Adult),,Zone 4,QE2,2023,4,66,716,45,190
2024_q2,,Lung Cancer Surgery,,Total,Provincial,2024,2,23,69,29,62
2025_q1,,Dental Extractions and Restorations  (Adult),,Zone 3,Cape Breton Regional,2025,1,,,159,278
12month_rolling,General Surgery,Hemorrhoidectomy,"McGibney, Kieron",,,,,41,150,91,131
2024_q1,,Back Surgery  (Adult),,Zone 4,QE2,2024,1,80,498,98,214
2024_q2,,Dental Extractions and Restorations  (Pediatric),,Total,Provincial,2024,2,57,341,142,506
12month_rolling,Otolaryngology (ENT),All,"Kujath, Magdalena",,,,,123,716,168,342
2024_q3,,Strabismus Surgery  (Pediatric),,IWK,IWK,2024,3,151,233,246,634
2023_q3,,Colorectal Cancer Surgery,,Zone 4,Dartmouth General,2023,3,12,44,27,129
12month_rolling,General Surgery,Bowel Resection,"Nocon, Brian",,,,,26,70,43,71
12month_rolling,Cardiac Surgery,Cardiovascular Surgery,"Ali, Idris M",,,,,,,10,49
2023_q4,,Shoulder Arthroscopy,,Zone 3,Cape Breton Regional,2023,4,69,278,51,111
2023_q3,,Bowel Resection - Laparoscopic,,Zone 1,Valley Regional,2023,3,14,383,38,51
2023_q1,,Hysterectomy  (Cancer Not Suspected),,Zone 4,QE2,2023,1,8,14,37,51
12month_rolling,Otolaryngology (ENT),Head and Neck Surgery,"Rigby, Matthew Hall",,,,,14,14,27,42
12month_rolling,Neurosurgery,,,,,2025,1,,,51,206
2023_q2,,Gastric Surgery - Laparoscopic,,Total,Provincial,2023,2,43,137,154,494
12month_rolling,Urology,Prostate Surgery,"Bailly, Greg G",,,,,75,125,75,146
2025_q1,,Gastrointestinal Tract Surgery,,IWK,IWK,2025,1,,,71,127
3month_rolling,,Functional Endoscopic Sinus Surgery (FESS),,Zone 3,Cape Breton Regional,2025,1,62,107,108,455
3month_rolling,,Hysterectomy  (Cancer Not Suspected),,IWK,IWK,2025,1,89,259,220,433
2023_q4,,Tonsillectomy and/or Adenoidectomy  (Pediatric),,Zone 3,Cape Breton Regional,2023,4,41,194,159,284
2023_q1,,Gallbladder Surgery,,Total,Provincial,2023,1,35,196,52,203
2024_q3,,Carpal Tunnel Surgery,,Total,Provincial,2024,3,89,511,50,149
2024_q2,,Hernia Repair - Laparoscopic Inguinal Femoral,,Zone 4,Dartmouth General,2024,2,232,453,129,164
2024_q4,,Hand / Upper Extremity,,Total,Provincial,2024,4,43,192,150,530
3month_rolling,,Removal of Ovaries and/or Fallopian Tubes  (Cancer Not Suspected),,Zone 1,Yarmouth Regional,2025,1,83,217,,
12month_rolling,General Surgery,Gastric Surgery,"Blackmore, Christopher",,,,,34,55,54,78
2023_q2,,Cardiac Valve Replacement,,Total,Provincial,2023,2,,,43,112
2024_q2,,Esophagectomy / Esophageal Surgery,,Zone 4,QE2,2024,2,20,86,40,128
2025_q1,,Bowel Resection - Open,,Zone 1,Yarmouth Regional,2025,1,,,27,63
2023_q2,,Male Reproductive System Surgery,,Zone 4,Hants Community Hospital,2023,2,117,363,104,251
2024_q3,,Knee Scope,,Zone 2,Aberdeen Hospital,2024,3,94,188,62,124
2023_q1,,Strabismus Surgery  (Pediatric),,IWK,IWK,2023,1,107,201,186,231
2024_q3,,Male Reproductive System Surgery,,Zone 2,Colchester East Hants Health Centre,2024,3,120,284,329,400
2023_q2,,Bladder Surgery,,Total,Provincial,2023,2,11,90,50,118
12month_rolling,,Gastrointestinal Tract Surgery,,Zone 2,Colchester East Hants Health Centre,2025,1,49,151,44,112
2024_q1,,Hernia Repair - Laparoscopic Umbilical,,Total,Provincial,2024,1,93,251,262,331
2023_q1,,Bowel Resection - Laparoscopic,,Zone 3,Cape Breton Regional,2023,1,31,132,19,222
12month_rolling,Urology,Kidney / Upper Urinary Tract,"McGregor, Thomas",,,,,24,32,32,56
3month_rolling,,Dental Extractions and Restorations  (Adult),,Zone 4,Dartmouth General,2025,1,,,42,50
12month_rolling,Vascular Surgery,Bowel Resection,"Heisler, Benjamin",,,,,18,270,35,54
12month_rolling,Plastic Surgery,Otoplasty,"Bezuhly, Michael",,,,,127,142,150,382
2024_q1,,Functional Endoscopic Sinus Surgery (FESS),,Zone 3,Cape Breton Regional,2024,1,29,47,,
2024_q4,,Dental Extractions and Restorations  (Pediatric),,Zone 3,Inverness Consolidated Memorial,2024,4,104,258,70,330
2023_q2,,Hernia Repair - Umbilical,,Zone 2,Colchester East Hants Health Centre,2023,2,85,202,151,297
2024_q3,,Knee Replacement Revision,,Zone 4,Dartmouth General,2024,3,,,91,176
2024_q3,,Hernia Repair - Umbilical,,Zone 4,Dartmouth General,2024,3,99,434,139,244
2024_q1,,Prostate Surgery - Laparoscopic,,Total,Provincial,2024,1,25,43,102,242
12month_rolling,,Breast Augmentation,,Total,Provincial,2025,1,95,293,85,188
2023_q3,,Gastric Surgery - Laparoscopic,,Zone 4,QE2,2023,3,77,476,191,486
2023_q1,,Gallbladder Surgery,,Zone 1,Valley Regional,2023,1,35,122,43,309
2023_q2,,Male Reproductive System Surgery,,Total,Provincial,2023,2,86,259,126,455
12month_rolling,Otolaryngology (ENT),Surgery for Hearing or Balance Problems of the Ear,"Balys, Richard L",,,,,84,99,75,118
2024_q1,,Dental Extractions and Restorations  (Adult),,Zone 4,Dartmouth General,2024,1,,,72,195
2023_q3,,Knee Scope,,Zone 3,Cape Breton Regional,2023,3,29,85,,
3month_rolling,,Septoplasty,,Zone 1,Valley Regional,2025,1,301,715,250,347
2023_q3,,Septoplasty,,Zone 3,St. Martha's Regional,2023,3,148,155,69,145
2024_q4,,Thyroid or Parathyroid Surgery,,Zone 3,Cape Breton Regional,2024,4,70,155,153,458
2024_q4,,Breast Cancer Surgery,,Zone 2,Aberdeen Hospital,2024,4,19,39,23,34
12month_rolling,Obstetrics/Gynaecology,Pelvic Floor Repair,"Smith, Anita",,,,,152,207,278,386
2024_q4,,Knee Replacement,,Zone 1,Valley Regional,2024,4,321,488,154,473
2024_q1,,Hernia Repair - Inguinal/Femoral,,Zone 2,Cumberland Regional,2024,1,36,80,50,120
2023_q4,,Dental Extractions and Restorations  (Pediatric),,Zone 3,St. Martha's Regional,2023,4,145,238,81,344
2023_q4,,Hernia Repair - Laparoscopic Inguinal Femoral,,Total,Provincial,2023,4,53,271,106,300
3month_rolling,,Cataract Surgery,,Zone 3,St. Martha's Regional,2025,1,154,310,85,131
2024_q1,,Bowel Resection,,Zone 3,Cape Breton Regional,2024,1,20,93,22,69
2024_q1,,Hernia Repair - Umbilical,,Total,Provincial,2024,1,64,390,99,310
2023_q3,,Chest Scopes  (Adult),,Zone 4,QE2,2023,3,,,13,41
2023_q4,,Male Reproductive System Surgery,,Zone 3,Cape Breton Regional,2023,4,29,187,86,180
12month_rolling,Plastic Surgery,Breast Reconstruction,"Corkum, Joseph",,,,,177,254,82,227
2023_q4,,Hysterectomy  (Cancer Not Suspected),,Zone 3,St. Martha's Regional,2023,4,84,"1,006",89,148
2024_q2,,Gallbladder Surgery,,Zone 2,Cumberland Regional,2024,2,17,65,47,103
2023_q2,,Hysteroscopy,,Zone 4,Dartmouth General,2023,2,42,96,45,108
12month_rolling,,Congenital Heart Surgery,,Total,Provincial,2025,1,,,36,104
12month_rolling,General Surgery,Hernia Repair - Ventral,"Booth, John",,,,,42,44,231,247
12month_rolling,Orthopaedic,Shoulder Surgery,"McNeil, Daniel",,,,,92,212,178,231
12month_rolling,,Kidney / Upper Urinary Tract,,Zone 4,QE2,2025,1,40,124,44,168
2023_q3,,Gallbladder Surgery,,Zone 2,Colchester East Hants Health Centre,2023,3,31,113,40,145
3month_rolling,,Temperomandibular Joint Surgery (TMJ),,Zone 4,QE2,2025,1,247,691,85,250
12month_rolling,Ophthalmology,All,"Hamilton, Claire",,,,,211,310,87,219
2025_q1,,Sacral Nerve Stimulation,,Zone 4,QE2,2025,1,,,173,240
2024_q2,,Gallbladder Surgery,,Zone 3,St. Martha's Regional,2024,2,20,44,77,126
2023_q2,,Palmar Fascia Excision for Dupuytren's Disease,,Total,Provincial,2023,2,67,500,77,353
12month_rolling,General Surgery,Bowel Resection,"Stewart, Riley",,,,,20,265,35,123
12month_rolling,,Kidney / Upper Urinary Tract,,Zone 3,Cape Breton Regional,2025,1,6,42,41,168
2023_q3,,Male Reproductive System Surgery,,Zone 4,Dartmouth General,2023,3,59,243,134,263
2023_q3,,Shoulder Surgery,,Total,Provincial,2023,3,88,498,239,529
2024_q2,,Shoulder Arthroplasty,,Zone 4,QE2,2024,2,75,341,208,777
12month_rolling,Thoracic Surgery,Lung Cancer Surgery,"Plourde, Madelaine M",,,,,36,121,29,62
2025_q1,,Palmar Fascia Excision for Dupuytren's Disease,,Zone 3,St. Martha's Regional,2025,1,188,544,,
12month_rolling,,Nerve or Brain Stimulation,,Total,Provincial,2025,1,50,145,30,123
12month_rolling,Orthopaedic,Foot - Osteotomy,"Burgesson, Bernard",,,,,577,623,39,46
2025_q1,,Breast Reduction Surgery,,Zone 4,QE2,2025,1,576,"1,762",81,372
2024_q3,,Breast Cancer Surgery,,Zone 1,Yarmouth Regional,2024,3,7,54,24,49
12month_rolling,Urology,Prostate Cancer Surgery,"Massaro, Peter",,,,,63,100,75,89
2025_q1,,AV Fistula Creation/Closure,,Zone 4,QE2,2025,1,,,32,59
2023_q1,,Insertion Vascular Access Catheter,,Total,Provincial,2023,1,13,70,10,112
2024_q1,,Craniotomy or Craniectomy,,Zone 4,QE2,2024,1,,,44,183
3month_rolling,,Female Incontinence Surgery,,Total,Provincial,2025,1,124,359,142,419
2023_q2,,Kidney Stone Surgery,,Zone 4,QE2,2023,2,31,78,45,91
2025_q1,,Tonsillectomy and/or Adenoidectomy  (Pediatric),,Zone 1,South Shore Regional,2025,1,370,443,63,149
3month_rolling,,Shoulder Arthroscopy,,Zone 3,Cape Breton Regional,2025,1,257,438,53,138
12month_rolling,General Surgery,Hemorrhoidectomy,"Clark, F Donald",,,,,109,117,52,65
2024_q4,,Brain Surgery  (Adult),,Zone 4,QE2,2024,4,16,112,25,162
2025_q1,,Male Circumcision  (Pediatric),,Total,Provincial,2025,1,,,42,674
3month_rolling,,Knee Replacement,,Zone 4,Dartmouth General,2025,1,392,707,154,321
12month_rolling,General Surgery,Bowel Resection - Open,"Helyer, Lucy K",,,,,29,113,18,40
3month_rolling,,Hernia Repair - Incisional,,Total,Provincial,2025,1,91,496,115,395
2023_q1,,Septoplasty,,Zone 1,Valley Regional,2023,1,356,425,102,276
2024_q3,,Gastrointestinal Tract Surgery,,Zone 1,Yarmouth Regional,2024,3,,,36,87
12month_rolling,General Surgery,AV Fistula Creation/Closure,"Walsh, Mark J",,,,,9,15,28,30
2024_q4,,Knee Scope,,Zone 4,Dartmouth General,2024,4,63,127,71,278
2025_q1,,Back Surgery  (Adult),,Zone 4,QE2,2025,1,120,906,92,224
12month_rolling,Otolaryngology (ENT),Functional Endoscopic Sinus Surgery (FESS),"Clifton, Neil",,,,,166,268,68,132
12month_rolling,Otolaryngology (ENT),Ear Tubes  (Pediatric),"Kujath, Magdalena",,,,,167,348,115,243
2023_q4,,Foot - Arthrodesis,,Zone 4,QE2,2023,4,761,973,137,184
2023_q3,,Gastrointestinal Tract Surgery,,Total,Provincial,2023,3,37,259,43,265
2024_q4,,Endometrial Ablation,,Total,Provincial,2024,4,69,953,77,179
2024_q1,,Pelvic Floor Repair,,Zone 2,Colchester East Hants Health Centre,2024,1,86,234,,
12month_rolling,General Surgery,,,,,2025,1,,,53,228
2024_q1,,Oculo Plastic Surgery,,Zone 3,Cape Breton Regional,2024,1,43,84,99,277
2024_q4,,Nose Surgery - Reconstructive or Aesthetic,,Zone 4,QE2,2024,4,,,39,184
2023_q1,,Ear Tubes  (Adult),,Zone 1,Yarmouth Regional,2023,1,,,34,62
2023_q4,,Gallbladder Surgery,,Zone 2,Aberdeen Hospital,2023,4,19,118,45,67
2024_q3,,Bladder Cancer Surgery,,Zone 1,Yarmouth Regional,2024,3,,,29,77
12month_rolling,Obstetrics/Gynaecology,All,"McCarthy, Leanne",,,,,126,569,75,391
3month_rolling,,Knee Scope with ACL Repair,,Zone 3,Cape Breton Regional,2025,1,,,79,382
2023_q2,,Hernia Repair  (Adult),,Zone 1,South Shore Regional,2023,2,42,111,38,123
2023_q1,,Bowel Resection - Open,,Zone 4,QE2,2023,1,32,317,24,272
2023_q3,,Surgery for Hearing or Balance Problems of the Ear,,Zone 4,Dartmouth General,2023,3,34,189,,
2024_q2,,Bladder Surgery,,Total,Provincial,2024,2,19,151,44,105
3month_rolling,,Kidney Removal,,Zone 2,Colchester East Hants Health Centre,2025,1,,,69,76
2024_q2,,Back Surgery  (Adult),,Total,Provincial,2024,2,87,323,91,230
2023_q4,,Bladder Cancer Surgery,,Zone 2,Colchester East Hants Health Centre,2023,4,23,66,36,51
2023_q2,,Tonsillectomy and/or Adenoidectomy  (Adult),,Total,Provincial,2023,2,29,140,118,516
12month_rolling,,Splenic Surgery,,Total,Provincial,2025,1,37,72,54,86
2024_q2,,Gallbladder Surgery,,Zone 3,Glace Bay,2024,2,130,294,,
2024_q4,,Hernia Repair - Inguinal/Femoral,,Zone 4,Dartmouth General,2024,4,81,633,92,232
2024_q1,,Bowel Resection - Open,,Zone 1,South Shore Regional,2024,1,40,44,25,36
12month_rolling,General Surgery,Bowel Resection - Open,"Lamey, Alicia",,,,,27,29,16,33
2023_q3,,Maxillofacial Deformity Surgery,,Total,Provincial,2023,3,253,400,244,541
3month_rolling,,Bladder Cancer Surgery,,Zone 1,South Shore Regional,2025,1,,,30,53
2024_q2,,Male Circumcision  (Adult),,Zone 2,Colchester East Hants Health Centre,2024,2,369,602,,
2023_q1,,Lacrimal Duct Probing,,Zone 4,QE2,2023,1,,,279,612
2023_q1,,Breast Cancer Surgery,,Zone 2,Colchester East Hants Health Centre,2023,1,11,37,20,42
2023_q3,,Hernia Repair  (Adult),,Zone 2,Colchester East Hants Health Centre,2023,3,27,88,68,173
2024_q2,,Gastrointestinal Tract Surgery,,Zone 2,Colchester East Hants Health Centre,2024,2,,,47,112
2023_q3,,Hernia Repair - Inguinal/Femoral,,Zone 4,QE2,2023,3,186,371,149,442
2024_q2,,Sinus Surgery,,Total,Provincial,2024,2,79,696,42,208
2024_q4,,Coronary Artery Bypass Graft,,Zone 4,QE2,2024,4,,,67,122
3month_rolling,,Thyroid or Parathyroid Surgery,,Zone 4,QE2,2025,1,29,155,48,146
12month_rolling,Otolaryngology (ENT),Thyroid or Parathyroid Surgery,"Rigby, Matthew Hall",,,,,,,56,134
2023_q3,,Carpal Tunnel Surgery,,Zone 3,St. Martha's Regional,2023,3,19,99,249,293
2025_q1,,Cystoscopy,,Zone 1,South Shore Regional,2025,1,34,361,31,72
2023_q1,,Foot - Bunionectomy,,Total,Provincial,2023,1,,,225,325
12month_rolling,,Tendon / Ligament Repair,,Total,Provincial,2025,1,84,579,70,290
2023_q2,,Septoplasty,,Zone 4,Dartmouth General,2023,2,40,133,117,435
2024_q1,,Insertion Vascular Access Catheter,,Zone 1,Yarmouth Regional,2024,1,,,7,10
2023_q2,,Thyroid or Parathyroid Surgery,,Zone 4,Dartmouth General,2023,2,14,38,70,315
12month_rolling,Orthopaedic,Knee Scope,"Coady, Catherine M",,,,,77,658,81,238
2023_q2,,Cystoscopy,,Zone 4,Dartmouth General,2023,2,38,124,107,451
12month_rolling,,Liver Surgery,,Total,Provincial,2025,1,12,31,35,79
2024_q4,,Gastrointestinal Tract Surgery - Laparoscopic,,Zone 1,Valley Regional,2024,4,28,323,54,109
2023_q4,,Sinus Surgery,,Total,Provincial,2023,4,72,547,38,355
3month_rolling,,Hysterectomy  (Cancer Not Suspected),,Zone 2,Aberdeen Hospital,2025,1,43,167,90,190
12month_rolling,Ophthalmology,Vitreoretinal Diseases,"Mishra, Amit",,,,,14,44,13,36
2024_q1,,Lung Cancer Surgery,,Zone 4,QE2,2024,1,23,50,40,88
12month_rolling,General Surgery,Hernia Repair - Incisional,"Booth, John",,,,,42,56,169,268
12month_rolling,,Hernia Repair - Laparoscopic Inguinal Femoral,,Zone 3,Inverness Consolidated Memorial,2025,1,41,231,109,289
12month_rolling,Urology,Male Circumcision  (Adult),"Moore, Jonathan Peter",,,,,86,191,155,432
2024_q1,,Lung Cancer Surgery,,Total,Provincial,2024,1,23,50,40,88
12month_rolling,,Hysteroscopy,,Total,Provincial,2025,1,43,286,52,145
12month_rolling,Obstetrics/Gynaecology,Endometrial Ablation,"Tynski, Gregory",,,,,486,579,90,107
2023_q3,,Lung Cancer Surgery,,Zone 4,QE2,2023,3,27,54,43,103
2023_q4,,Bowel Resection,,Zone 4,Dartmouth General,2023,4,17,154,24,52
2023_q2,,Carpal Tunnel Surgery,,Total,Provincial,2023,2,52,182,85,296
2024_q1,,Gastrointestinal Tract Surgery,,Zone 3,Cape Breton Regional,2024,1,35,93,38,231
2023_q3,,Hand / Upper Extremity,,Total,Provincial,2023,3,153,528,131,622
2024_q3,,Chest Scopes  (Adult),,Zone 4,QE2,2024,3,,,15,113
2024_q3,,Bladder Cancer Surgery,,Zone 3,Northside General,2024,3,,,64,187
12month_rolling,Obstetrics/Gynaecology,All,"Kieser, Katharina E",,,,,13,29,30,75
2023_q3,,Prostatectomy,,Zone 4,QE2,2023,3,22,48,138,218
2024_q4,,Cataract Surgery,,Zone 2,Cumberland Regional,2024,4,291,325,105,143
3month_rolling,,Breast Cancer Surgery,,Zone 4,QE2,2025,1,,,27,52
2023_q4,,Amputations,,Total,Provincial,2023,4,56,105,21,112
12month_rolling,Orthopaedic,Hip Arthroscopy,"Urquhart, Nathan Alexander",,,,,80,284,104,194
2023_q2,,Dental Extractions and Restorations  (Adult),,IWK,IWK,2023,2,,,342,950
